City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Horsham,GB,2021-03-21 22:21:23,51.064,-0.3272,43.0,75,0,1.14
68,Dharchula,IN,2021-03-21 22:17:13,29.85,80.5333,57.61,42,0,6.82
69,Ancud,CL,2021-03-21 22:21:23,-41.8697,-73.8203,64.99,59,0,6.91
70,Fort Nelson,CA,2021-03-21 22:21:24,58.8053,-122.7002,17.6,62,75,9.22
71,Mwense,ZM,2021-03-21 22:21:24,-10.3845,28.698,67.12,93,94,2.1
72,Nouakchott,MR,2021-03-21 22:21:24,18.0858,-15.9785,71.6,56,94,14.97
73,Nantou,TW,2021-03-21 22:21:25,23.8342,120.927,60.01,80,96,1.3
74,Hithadhoo,MV,2021-03-21 22:21:25,-0.6,73.0833,82.62,75,99,10.36
75,Olafsvik,IS,2021-03-21 22:21:25,64.8945,-23.7142,43.05,88,100,34.43
76,Cherskiy,RU,2021-03-21 22:21:25,68.75,161.3,-9.36,72,0,5.03
77,Encheng,CN,2021-03-21 22:21:26,22.1839,112.3026,58.06,63,100,12.68
78,Port Alfred,ZA,2021-03-21 22:19:26,-33.5906,26.891,64.62,67,95,8.12
79,Ribeira Grande,PT,2021-03-21 22:21:26,38.5167,-28.7,60.8,77,75,11.5
80,Celestun,MX,2021-03-21 22:21:26,20.8667,-90.4,73.74,64,0,11.83
81,Orel-Izumrud,RU,2021-03-21 22:21:27,43.4583,39.9244,39.2,87,90,4.47
82,Hailar,CN,2021-03-21 22:21:27,49.2,119.7,23.77,65,60,9.69
83,Macau,MO,2021-03-21 22:21:27,22.2006,113.5461,62.6,67,40,21.85
84,Mahebourg,MU,2021-03-21 22:21:28,-20.4081,57.7,78.8,89,75,8.05
85,Mataura,NZ,2021-03-21 22:21:28,-46.1927,168.8643,57.0,91,86,4.0
86,Hobart,AU,2021-03-21 22:20:20,-42.8794,147.3294,64.0,82,20,9.22
87,Cidreira,BR,2021-03-21 22:16:52,-30.1811,-50.2056,74.01,90,93,10.29
88,Barrow,US,2021-03-21 22:21:28,71.2906,-156.7887,-9.4,70,1,14.97
89,Mogadishu,SO,2021-03-21 22:21:28,2.0371,45.3438,81.34,81,72,15.28
90,Yumen,CN,2021-03-21 22:21:29,40.2833,97.2,31.95,24,0,7.81
91,Ushuaia,AR,2021-03-21 22:17:55,-54.8,-68.3,51.8,66,75,14.97
